RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
16302,2021-001434-19,1378.5,Interventional studies with investigational medicinal products,"Boehringer Ingelheim, Portugal Lda.                                    ","Randomised, double-blind, placebo-controlled and parallel dose group trial to investigate efficacy and safety of multiple doses of oral BI 690517 over 14 weeks, alone and in combination with empagliflozin, in patients with diabetic and non-diabetic chronic kidney disease",Active,,25/02/2022,04/01/2022,A study to test whether different doses of BI 690517 alone or in combination with empagliflozin improve kidney function in people with chronic kidney disease,No,chronic kidney disease,Yes,,,"Adult , Elderly","Female , Male"
16402,2021-005184-42,CLEE011A2412B,Interventional studies with investigational medicinal products,Novartis Pharma AG,A post-trial access roll-over study to allow access to ribociclib (LEE011) for patients who are on ribociclib treatment in Novartis-sponsored study,Not Commenced,,12/04/2022,08/04/2022,"Roll-over study to allow continued access to ribociclib
",No,"HR+, HER2- advanced or metastatic breast cancer",,,Yes,"Adult , Elderly","Female , Male"
16482,2021-002392-20,1403-0008,Interventional studies with investigational medicinal products,"Boehringer Ingelheim, Portugal Lda.                                    ","Brightline-1: A Phase II/III, randomized, open-label, multi-center study of BI 907828 compared to doxorubicin as first line treatment of patients with advanced dedifferentiated liposarcoma",Active,,06/05/2022,17/06/2022,Brightline-1: A study to compare BI 907828 with doxorubicin in people with a type of cancer called dedifferentiated liposarcoma,No,advanced dedifferentiated liposarcoma,Yes,Yes,,"Adult , Elderly","Female , Male"
16562,2021-002555-10,DS1062-A-U304,Interventional studies with investigational medicinal products,"Daiichi Sankyo, Inc.","A Randomized, Open-label, Phase 3 Trial of Dato-DXd Plus Pembrolizumab vs Pembrolizumab Alone in Treatment-naïve Subjects with Advanced or Metastatic PD-L1 High (TPS ¿50%) Non-small Cell Lung Cancer Without Actionable Genomic Alterations (Tropion-Lung08)",Not Commenced,,20/09/2022,05/08/2022,Study of DS-1062a with or without Pembrolizumab in Advanced or Metastatic Non-small Cell Lung Cancer without Actionable Genomic Alterations,No,Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC),,Yes,,"Adult , Elderly","Female , Male"
16602,2020-003467-26,NN7769-4516,Interventional studies with investigational medicinal products,Novo Nordisk A/S,"Safety, efficacy and exposure of subcutaneously administered NNC0365-3769 
(Mim8) prophylaxis in children with haemophilia A with or without FVIII 
inhibitors",Not Commenced,,07/07/2022,20/05/2022,A research study investigating Mim8 in children with haemophilia A with or without inhibitors,Yes,"Haemophilia A 

Haemophilia A with inhibitors",,Yes,,Under 18,"Female , Male"
16702,2021-001285-38,1366-0021,Interventional studies with investigational medicinal products,"Boehringer Ingelheim, Portugal Lda.                                    ","Randomised, double-blind, placebo-controlled and parallel group trial to investigate the effects of two doses (up-titration to a fixed dose regimen) of oral BI 685509 on portal hypertension after 24 weeks treatment in patients with clinically significant portal hypertension (CSPH) in compensated cirrhosis",Not Commenced,,17/06/2022,20/05/2022,A study to test whether two different doses of BI 685509 help people with liver cirrhosis and high blood pressure in the portal vein (main vessel going to the liver),No,portal hypertension ,Yes,,,"Adult , Elderly","Female , Male"
16723,2021-003536-92,CY6031,Interventional studies with investigational medicinal products,"CYTOKINETICS,Inc","A Phase 3, Multi-Center, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy and Safety of CK-3773274 in Adults with Symptomatic Hypertrophic Cardiomyopathy and Left Ventricular Outflow Tract Obstruction",Not Commenced,,14/12/2022,01/08/2022,A Phase 3 trial to measure how safe and effective CK3773274 is in Adults with obstructive hypertrophic cardiomyopathy (oHCM),No,obstructive hypertrophic cardiomyopathy (oHCM),,Yes,,"Adult , Elderly","Female , Male"
16802,2021-003222-76,ZX008-2103(EP0216),Interventional studies with investigational medicinal products,Zogenix International Limited,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBOCONTROLLED, FIXED-DOSE, MULTICENTER STUDY TO EXAMINE THE EFFICACY AND SAFETY OF ZX008 IN SUBJECTS WITH CDKL5 DEFICIENCY DISORDER FOLLOWED BY AN OPEN-LABEL EXTENSION",Not Commenced,,19/09/2022,15/07/2022,A Study to Examine the Efficacy and Safety of ZX008 in Subjects with CDKL5 Deficiency Disorder,No,CDKL5 DEFICIENCY DISORDER,,Yes,,"Under 18 , Adult","Female , Male"
16822,2021-005746-15,MN43964,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A Multicenter, Single-arm, Open-label, Extension, Rollover Study To Evaluate The Long-term Safety And Efficacy Of Ocrelizumab In Patients With Multiple Sclerosis",Not Commenced,,03/10/2022,22/06/2022,A Rollover Study to Evaluate the Long-Term Safety and Efficacy of Ocrelizumab In Patients with Multiple Sclerosis,No,"Primary Progressive Multiple Sclerosis (PPMS)
Relapsing Multiple Sclerosis (RMS)",,Yes,,Adult,"Female , Male"
16842,2020-005281-34,NN1535-4591,Interventional studies with investigational medicinal products,Novo Nordisk A/S,"A 52 week study comparing the efficacy and safety of once weekly IcoSema and once weekly insulin icodec, both treatment arms with or without oral anti diabetic drugs, in participants with type 2 diabetes inadequately controlled with daily basal insulin. COMBINE 1",Not Commenced,,07/10/2022,15/07/2022,"A research study to see how well the new weekly medicine IcoSema, which is a combination of insulin icodec and semaglutide, controls blood sugar level in people with type 2 diabetes compared to weekly insulin icodec (COMBINE 1)",No,"Diabetes Mellitus, Type 2",,Yes,,"Adult , Elderly","Female , Male"
16882,2019-002788-88,20190529,Interventional studies with investigational medicinal products,Amgen Inc.,"A Phase 3, Multicenter, Double-blind, Randomized, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy, Safety and Pharmacokinetics of Apremilast in Children From 5 to Less Than 18 Years of Age With Active Juvenile Psoriatic Arthritis (PEAPOD)",Not Commenced,,09/08/2022,03/06/2022,Apremilast Study in Children with Active Juvenile Psoriatic Arthritis,Yes,Juvenile psoriatic arthritis,,Yes,,Under 18,"Female , Male"
16902,2020-003101-58,849-007,Interventional studies with investigational medicinal products,"Mirati Therapeutics, Inc.",A Phase 2 Trial of MRTX849 Monotherapy and in Combination with Pembrolizumab in Patients with Advanced Non-Small Cell Lung Cancer with KRAS G12C Mutation,Not Commenced,,27/09/2022,15/07/2022,Phase 2 Study of MRTX849 Monotherapy and in Combination With Pembrolizumab in Patients with Advanced Non-Small Cell Lung Cancer with KRAS G12C Mutation,No,Advanced Non-Small Cell Lung Cancer ,Yes,,,"Adult , Elderly","Female , Male"
16922,2021-003369-37,D9077C00001,Interventional studies with investigational medicinal products,AstraZeneca AB,"A Phase II Open-label, Multicentre, Randomised Study of Neoadjuvant and Adjuvant Treatment in Patients with Resectable, Early-stage (II to IIIB) Non-small Cell Lung Cancer (NeoCOAST-2)",Not Commenced,,03/10/2022,16/09/2022,Study of Neoadjuvant and Adjuvant Treatment in Patients with Resectable Non-small Cell Lung Cancer,No,"Resectable, Early-stage (II to IIIB) Non-small Cell Lung Cancer",Yes,,,"Adult , Elderly","Female , Male"
16962,2021-005607-13,NN8640-4467,Interventional studies with investigational medicinal products,Novo Nordisk A/S,"A study comparing the effect and safety of once weekly dosing of somapacitan with daily Norditropin® as well as evaluating long-term safety of somapacitan in a basket study design in
children with short stature either born small for gestational age or with Turner syndrome,
Noonan syndrome, or idiopathic short stature.",Not Commenced,,02/03/2023,26/08/2022,A research study to compare somapacitan once a week with Norditropin® once a day in children who need help to grow,No,"Short stature born small for gestational age 
Turner syndrome
Noonan syndrome
Idiopathic short stature",,Yes,,Under 18,"Female , Male"
17022,2021-001910-13,AV-101-002,Interventional studies with investigational medicinal products,"Aerovate Therapeutics, Inc.","IMPAHCT: A Phase 2b/3, Randomized, Double-Blind, Placebo-Controlled, 24-Week Dose Ranging and Confirmatory Study to Evaluate the Safety and Efficacy of AV-101 in Patients with Pulmonary Arterial Hypertension (PAH).",Not Commenced,,26/08/2022,19/09/2022,"Inhaled Imatinib Pulmonary Arterial Hypertension Clinical Trial (IMPAHCT) or A Phase 2b/3, Randomized, Controlled, 24-week Dose Ranging and Confirmatory Study of AV-101 in Patients with PAH.",No,Pulmonary Arterial Hypertension (PAH),Yes,Yes,,"Adult , Elderly","Female , Male"
17102,2021-005772-19,CAIN457Q12301E1,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A three-year, open-label extension study of subcutaneous secukinumab to evaluate the long-term efficacy, safety and tolerability in patients with active lupus nephritis",Not Commenced,,03/10/2022,08/08/2022,"An extension clinical trial of subcutaneous secukinumab to evaluate the long-term efficacy, safety and tolerability in patients with active lupus nephritis",No,Lupus Nephritis,,Yes,,"Adult , Elderly","Female , Male"
17122,2021-003234-37,80202135CDP3001,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"Phase 2/3, Multistage, Multicenter, Randomized, Double-Blind, Placebo-Controlled Parallel Group Withdrawal Study to Evaluate the Efficacy and Safety of Nipocalimab Administered to Adults with Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)",Not Commenced,,22/11/2022,08/08/2022,Efficacy and Safety Study of Nipocalimab for Adults with CIDP,No,Chronic Inflammatory Demyelinating Polyneuropathy,Yes,Yes,,"Adult , Elderly","Female , Male"
17142,2021-002046-33,CLNP023K12201,Interventional studies with investigational medicinal products,Novartis Pharma AG,"An adaptive, randomized, double-blind, dose exploration, parallel group, placebo-controlled, multicenter phase 2 trial to evaluate the efficacy, safety and tolerability of LNP023 in combination with standard-of-care with and without oral corticosteroids in patients with active lupus nephritis Class III-IV, +/- V",,,06/12/2022,05/08/2022,"Study of efficacy and safety of LNP023 in participants with active lupus nephritis Class III-IV, +/- V ",No,"Lupus Nephritis Class III-IV, +/- V",Yes,,,"Adult , Elderly","Female , Male"
17162,2021-003280-95,ISIS678354-CS13,Interventional studies with investigational medicinal products,"IONIS Pharmaceuticals, Inc",An Open-Label Extension Study of AKCEA-APOCIII-LRX Administered Subcutaneously to Patients with Familial Chylomicronemia Syndrome (FCS),Not Commenced,,23/01/2023,15/07/2022,An Open-Label Extension Study of AKCEA-APOCIII-LRX Administered to Patients with Familial Chylomicronemia Syndrome (FCS),No,Familial Chylomicronemia Syndrome (FCS),,Yes,,"Adult , Elderly","Female , Male"
17182,2021-000497-28,PTC923-MD-004-PKU,Interventional studies with investigational medicinal products,"PTC Therapeutics, Inc.",Phase 3 Open-Label Extension Study of PTC923 in Phenylketonuria,Not Commenced,,08/11/2022,03/06/2022,A Phase 3 Extension Study of PTC923 in Subjects with Phenylketonuria,No,Metabolic Disorders - Phenylketonuria,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
17202,2020-001009-22,19356A,Interventional studies with investigational medicinal products,H. Lundbeck A/S,"Interventional, randomized, double-blind, parallel-group, placebo-controlled study to evaluate the efficacy and safety of IV eptinezumab in adolescents (12-17 years) for the preventive treatment of chronic migraine",Not Commenced,,14/09/2022,08/09/2022,,Yes,Migraine ,,Yes,,Under 18,"Female , Male"
17222,2020-001649-38,19379A,Interventional studies with investigational medicinal products,H. Lundbeck A/S,"Long-term, open-label (dose-blinded), extension study of  eptinezumab in children and adolescents with chronic or episodic  migraine",Not Commenced,,22/09/2022,01/09/2022,,Yes,Migraine,,Yes,,Under 18,"Female , Male"
17242,2020-005661-14,CVAY736A2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, placebo controlled, 2-arm multicenter phase 3 study to assess the efficacy and safety of ianalumab in patients with active Sjögren's syndrome (NEPTUNUS-1) ",,,15/09/2022,03/06/2022,A clinical study to investigate if ianalumab is effective and safe in the treatment of active Sjögren`s syndrome,No,Active Sjögren's syndrome,,Yes,,"Adult , Elderly","Female , Male"
17282,2019-002637-11,CBYL719H12301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"EPIK-B3: A Phase III, multicenter, randomized, double-blind, placebo-controlled study to assess the efficacy and safety of alpelisib (BYL719) in combination with nab-paclitaxel in patients with advanced triple negative breast cancer with either phosphoinositide-3-kinase catalytic subunit alpha (PIK3CA) mutation or phosphatase and tensin homolog protein (PTEN) loss without PIK3CA mutation.",Ended,,26/09/2022,24/06/2022,Study assessing the efficacy and safety of alpelisib plus nab-paclitaxel in subjects with advanced triple negative breast cancer  who carry either a PIK3CA  mutation or have PTEN loss without  PIK3CA mutation ,No,Advanced triple negative breast cancer,,Yes,,"Adult , Elderly","Female , Male"
17302,2021-002192-19,ISIS678354-CS5,Interventional studies with investigational medicinal products,"IONIS Pharmaceuticals, Inc","A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study of ISIS 678354 Administered Subcutaneously to Patients with Severe Hypertriglyceridemia",Not Commenced,,20/09/2022,26/08/2022,A Phase 3 study of investigational drug ISIS 678354 administered under skin to patients with severely increased amount of triglycerides in blood.  ,No,Severe hypertryglyceridemia,,Yes,,"Adult , Elderly","Female , Male"
17342,2018-003443-31,NUT-3/NAS,Interventional studies with investigational medicinal products,Dr. Falk Pharma GmbH                                                                                ,"Double-blind, randomised, placebo-controlled, phase IIb trial on the efficacy and safety of norursodeoxycholic acid tablets in patients with non-alcoholic steatohepatitis (NASH)
",Not Commenced,,14/09/2022,15/07/2022,"Clinical trial comparing the efficacy and safety of norursodeoxycholic acid tablets with placebo in the treatment of non-alcholic fatty liver disease with liver inflammation (""non-alcoholic steatohepatitis""[NASH])",No,Non-alcoholic steatohepatitis (NASH) ,Yes,,,"Adult , Elderly","Female , Male"
17382,2021-005020-38,KF7039-02,Interventional studies with investigational medicinal products,Grünenthal GmbH                                                                                     ,"A randomized, double-blind, placebo-controlled, Phase III trial to evaluate the efficacy and safety of a single intra-articular injection of RTX-GRT7039 in adult subjects with pain associated with osteoarthritis of the knee.",,,03/10/2022,24/06/2022,Comparison of a single RTX-GRT7039 and placebo intra-articular injection for pain associated with osteoarthritis of the knee.,No,Moderate to severe pain associated with osteoarthritis of the knee,,Yes,,"Adult , Elderly","Female , Male"
